# RaceRender Data
# Generated by hand for OverlayGen tests. Two laps around a tiny synthetic circuit.
# Lap 0: 00:00:04.00
# Lap 1: 00:00:08.00
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,RPM,Gear,Throttle,Lap,Coolant *OBD,OBD_Update
00:00:00.00,45.000000,-122.000000,100.0,0.0,0,0.00,0.00,900,0,0,0,80,1
00:00:00.50,45.000045,-122.000000,100.5,20.0,0,0.50,0.00,2500,1,50,0,80,0
00:00:01.00,45.000090,-122.000000,101.0,40.0,0,0.40,0.00,4000,2,80,0,81,1
00:00:01.50,45.000135,-122.000000,101.5,60.0,0,0.30,0.00,5500,2,90,0,81,0
00:00:02.00,45.000180,-122.000000,102.0,60.0,90,0.00,0.80,5500,3,90,0,82,1
00:00:02.50,45.000180,-121.999936,102.0,60.0,90,0.00,0.80,5500,3,90,0,82,0
00:00:03.00,45.000180,-121.999873,102.0,60.0,180,-0.20,0.60,5200,3,70,0,83,1
00:00:03.50,45.000135,-121.999873,101.5,55.0,180,-0.50,0.00,5000,3,40,0,83,0
00:00:04.00,45.000090,-121.999873,101.0,50.0,180,-0.60,0.00,4800,3,30,1,84,1
00:00:04.50,45.000045,-121.999873,100.5,45.0,270,-0.30,-0.70,4500,2,30,1,84,0
00:00:05.00,45.000000,-121.999873,100.0,40.0,270,0.00,-0.70,4000,2,60,1,85,1
00:00:05.50,45.000000,-121.999936,100.0,45.0,270,0.30,0.00,4400,2,80,1,85,0
00:00:06.00,45.000000,-122.000000,100.0,50.0,0,0.40,0.00,4800,3,90,1,86,1
00:00:06.50,45.000045,-122.000000,100.5,55.0,0,0.40,0.00,5200,3,90,1,86,0
00:00:07.00,45.000090,-122.000000,101.0,60.0,0,0.20,0.00,5500,3,90,1,87,1
00:00:07.50,45.000135,-122.000000,101.5,62.0,0,0.10,0.00,5600,3,90,1,87,0
00:00:08.00,45.000180,-122.000000,102.0,64.0,90,0.00,0.90,5700,3,90,2,88,1
00:00:08.50,45.000180,-121.999936,102.0,64.0,90,0.00,0.90,5700,3,90,2,88,0
00:00:09.00,45.000180,-121.999873,102.0,,180,-0.30,0.50,5300,3,50,2,89,1
00:00:09.50,45.000135,-121.999873,101.5,58.0,180,-0.50,0.00,5000,3,20,2,89,0
