id,name,latitude,longitude,country
Q136695675,69 Speedway Kallifytos,41.17040,24.20180,GR
Q138845212,A1 Motor Park,42.31546,23.53969,BG
Q4673007,Ace Speedway,36.19280,-79.49950,US
Q786432,ACI Vallelunga Circuit,42.15944,12.36917,IT
Q48697874,Active Kart Club Festica,35.41524,137.28556,JP
Q137870115,Adams County Speedway,40.99443,-94.72803,US
Q2973977,Adelaide International Raceway,-34.69920,138.56500,AU
Q83234,Adelaide Street Circuit,-34.93047,138.62061,AU
Q134479390,Adirondack International Speedway,43.85360,-75.45190,US
Q367389,Adria International Raceway,45.04417,12.14750,IT
Q130280925,Aeginio Circuit,40.49278,22.60056,GR
Q108685046,Afyonkarahisar Motor Sports Center,38.78578,30.48142,TR
Q4696439,Ahvenisto Race Circuit,61.00205,24.42115,FI
Q173217,Ain-Diab Circuit,33.57878,-7.68774,MA
Q12221467,Aintree Motor Racing Circuit,53.47694,-2.94056,GB
Q2828260,Airborne Park Speedway,44.63461,-73.49774,US
Q653214,Aix-les-Bains Circuit du Lac,45.69152,5.89494,FR
Q4705285,Alabama Motorsports Park,30.81110,-88.13530,US
Q2623403,Alastaro Circuit,60.97740,22.65857,FI
Q2802165,Albany-Saratoga Speedway,42.98859,-73.78227,US
Q171288,Albert Park Circuit,-37.84972,144.96833,AU
Q28407331,Aldershot Stadium,51.23931,-0.73572,GB
Q16830319,Aldo Scribante Circuit,-33.80694,25.64722,ZA
Q737299,Alemannenring,47.75556,8.87361,DE
Q15179173,Alexandra Park Street Circuit,-29.62517,30.38581,ZA
Q4727801,All-American Speedway,38.75730,-121.29100,US
Q139456852,All-Tech Raceway,29.99405,-82.61169,US
Q434307,Altamont Raceway Park,37.73800,-121.56300,US
Q4740325,Amaroo Park,-33.65080,150.93400,AU
Q4754190,Anderson Speedway,40.08870,-85.69650,US
Q172894,Anderstorp Raceway,57.26417,13.60139,SE
Q136211105,Angelica Raceway,42.30720,-78.01030,US
Q4762806,Angell Park Speedway,43.17780,-89.21110,US
Q4763391,Anglesey Circuit,53.19004,-4.49766,GB
Q4782777,Aquasco Speedway,38.55890,-76.71220,US
Q166117,Arctic Circle Raceway,66.42300,14.44200,NO
Q2791673,Ardmore Airport,-37.02972,174.97333,NZ
Q125868149,Area 27 Motorsports Park,49.15570,-119.52690,CA
Q10417416,Arena Avesta,60.07545,16.32036,SE
Q4788880,Arena Essex Raceway,51.49420,0.28278,GB
Q10417435,Arendalsbanan,57.70106,11.85589,SE
Q138603150,Arlington Street Circuit,32.70500,-97.03944,US
Q4792527,Armadale Stadium,55.89830,-3.68306,GB
Q4796260,Arroyo Seco Raceway,32.23800,-107.42900,US
Q48698108,Asamadai Sport Land,35.80142,140.50760,JP
Q4803498,Asan Circuit,34.08917,133.85833,JP
Q5769926,Ascari Race Resort,36.82554,-5.08367,ES
Q4804034,Ascot Park,33.86440,-118.28900,US
Q2091297,Asheville-Weaverville Speedway,35.74040,-82.55780,US
Q54847389,Aspar Circuit,39.22672,-0.46717,ES
Q125253769,Aspern Airfield Circuit,48.22472,16.50806,AT
Q4812969,Atco Raceway,39.77500,-74.83000,US
Q16801754,Athens Circuit,37.98706,23.36337,GR
Q4816058,Atlanta Dragway,34.26390,-83.47280,US
Q374058,Atlanta Motor Speedway,33.38349,-84.31786,US
Q16162216,Atlanta Motorsports Park,34.43470,-84.17690,US
Q4816357,Atlantic City Speedway,39.60330,-74.74110,US
Q4816494,Atlantic Motorsport Park,45.14500,-63.44860,CA
Q48697324,Atom Circuit,38.43333,141.18333,JP
Q280374,Audru Ring,58.40187,24.45369,EE
Q139601378,Auering (Haßbergen),52.75480,9.28650,DE
Q4820939,Augusta International Raceway,33.35670,-82.08720,US
Q4826096,Auto Club Raceway at Pomona,34.09510,-117.77000,US
Q784899,Auto Club Speedway,34.08860,-117.50000,US
Q48696889,Auto Sportsland Sunagawa,43.49180,141.89440,JP
Q4826158,Autobahn Country Club,41.45470,-88.12720,US
Q15784739,Autobahnschere Chemnitz,50.85317,12.85398,DE
Q1167943,Autobahnspinne Dresden,51.13620,13.75220,DE
Q12076062,Autodrom Chayka,50.43917,30.29306,UA
Q11773870,Autodrom CzechRing,50.24600,15.83800,CZ
Q96311112,Autodrom Jastrząb,51.26385,20.92825,PL
Q4304395,Autodrom Moscow,55.56310,37.98560,RU
Q786418,Autodrom Most,50.51806,13.59000,CZ
Q123000959,Autodrom Môlča,48.71160,19.24496,SK
Q4056231,Autodrom Saint Petersburg,59.78251,30.45441,RU
Q786412,Autodrom Sedlčany,49.67081,14.42784,CZ
Q786413,Autodrom Sosnová,50.65927,14.53821,CZ
Q123667764,Autodrom Sosnowiec,50.29461,19.11175,PL
Q2872546,Autodrome Chaudière,46.37231,-70.94261,CA
Q735277,Autodrome de Linas-Montlhéry,48.62219,2.23555,FR
Q2872550,Autodrome Montmagny,46.93778,-70.55333,CA
Q2872552,Autodrome Saguenay,48.36528,-71.13028,CA
Q2872557,Autodrome Saint-Eustache,45.57330,-73.96250,CA
Q2872556,Autodrome St-Félicien,48.67639,-72.51722,CA
Q3302727,Autodrome Tetamamar,41.23833,1.78056,ES
Q2872558,Autodrome Val-Bélair,46.86722,-71.43639,CA
Q107264860,Autodromo del Levante,40.99475,16.74203,IT
Q735696,Autodromo dell'Umbria,43.13111,12.23944,IT
Q1525161,Autodromo della Mellaha,32.89022,13.30262,LY
Q2065051,Autodromo di Franciacorta,45.51167,10.00528,IT
Q116800267,Autodromo di Lombardore,45.23611,7.72444,IT
